PropertyID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,GarageCars,NeighborhoodQuality,DistanceToDowntownMiles,HasPool,Renovated,SalePrice
PROP-2405,3670,6,5.0,2022,0,4,2.5,1,0,1106200
PROP-2406,3360,5,4.8,2020,0,2,10.5,0,0,880600
PROP-2407,4368,6,5.5,1968,3,1,19.6,0,0,1070800
PROP-2408,758,1,1.8,1975,0,7,4.5,0,1,432200
PROP-2409,2393,3,2.8,2008,0,2,28.5,0,0,565000
PROP-2410,2623,4,3.5,1982,2,8,7.0,0,0,917800
PROP-2411,2864,5,4.8,2003,1,4,14.8,0,0,832400
PROP-2412,3731,6,5.0,1960,0,8,16.5,0,0,1085400
PROP-2413,2145,2,1.5,2002,0,3,3.6,0,0,586500
PROP-2414,3005,4,3.0,2011,3,10,27.7,1,0,978000
PROP-2415,2425,5,4.2,2012,0,3,16.0,0,0,703800
PROP-2416,1630,3,3.2,2006,3,2,12.4,0,0,525500
PROP-2417,2398,4,4.0,1977,0,1,23.8,1,0,554500
PROP-2418,3818,6,4.5,2017,0,4,14.5,0,0,1031500
PROP-2419,2911,5,4.8,2013,3,10,7.3,1,0,1137300
PROP-2420,3643,5,4.8,1990,2,9,8.6,1,0,1149700
PROP-2421,2532,4,4.0,1998,3,7,26.7,1,0,874700
PROP-2422,1923,4,3.5,2003,3,6,13.3,0,0,728100
PROP-2423,2368,3,3.2,1995,0,10,15.1,0,0,802500
PROP-2424,3115,5,3.8,1965,1,5,10.3,1,1,910700
PROP-2425,1511,2,1.5,2010,1,1,7.1,0,0,434900
PROP-2426,4452,6,5.0,1981,2,8,7.3,1,0,1301900
PROP-2427,3858,5,4.2,1993,0,7,7.4,1,0,1132700
PROP-2428,2654,4,4.0,2021,2,2,4.6,0,0,797100
PROP-2429,1569,2,2.5,1963,0,6,24.1,0,0,425900
PROP-2430,2421,5,3.8,1984,1,8,13.1,1,1,918300
PROP-2431,1362,3,2.8,2011,1,9,7.5,0,0,686000
PROP-2432,4251,6,5.0,1982,1,6,21.7,1,1,1209900
PROP-2433,4067,5,4.8,2020,0,1,16.0,0,0,985500
PROP-2434,4420,6,4.5,2017,0,5,6.6,1,0,1237700
PROP-2435,3869,5,4.8,1975,1,9,8.9,0,0,1169600
PROP-2436,2744,5,4.8,1961,2,8,7.2,1,0,968600
PROP-2437,3661,6,5.5,2007,0,8,27.1,0,0,1071100
PROP-2438,3422,6,5.0,1997,2,6,9.6,0,0,1050300
PROP-2439,1142,1,1.2,1988,3,10,19.5,0,0,565400
PROP-2440,1345,3,2.8,1985,3,9,15.7,0,0,639000
PROP-2441,1827,4,3.0,1987,0,4,17.7,0,0,511800
PROP-2442,3522,6,5.5,1987,1,2,20.1,1,1,931000
PROP-2443,3182,6,5.0,2013,2,6,22.5,0,0,976000
PROP-2444,797,1,1.2,2015,3,1,12.2,0,0,283800
PROP-2445,2624,3,2.8,2023,3,8,3.8,1,0,939900
PROP-2446,2505,3,2.2,2005,0,1,7.5,1,0,635000
PROP-2447,2021,2,2.0,2008,1,3,4.0,0,0,573200
PROP-2448,1741,3,2.8,1997,1,10,19.7,0,0,729100
PROP-2449,3193,6,5.0,2003,2,1,6.7,0,1,907100
PROP-2450,2533,5,4.8,2007,1,2,14.0,0,0,709900
PROP-2451,1639,1,1.0,1979,0,1,19.3,0,0,368100
PROP-2452,2307,4,3.5,1988,1,6,21.3,0,0,692700
PROP-2453,3698,6,4.5,1981,1,5,26.3,0,0,958300
PROP-2454,3484,5,3.8,1972,0,1,17.7,1,0,814300
PROP-2455,2373,4,4.0,1962,3,4,27.8,0,0,646900
PROP-2456,3918,6,5.5,1985,3,9,11.0,0,0,1265000
PROP-2457,1124,1,1.2,1967,0,10,6.6,0,1,501400
PROP-2458,3908,6,5.5,2006,0,1,9.0,0,0,1008300
PROP-2459,4086,5,4.8,1994,3,7,27.4,0,1,1142600
PROP-2460,1707,3,2.8,1967,2,3,14.9,0,0,499200
PROP-2461,3450,5,4.2,2015,2,2,16.3,0,0,911700
PROP-2462,2590,4,3.0,2024,1,8,8.7,0,0,877300
PROP-2463,2203,2,2.5,2011,2,10,7.1,1,0,889600
PROP-2464,1363,1,1.0,2009,2,7,23.1,0,0,513900
PROP-2465,3370,4,3.5,1988,2,4,11.0,0,0,907900
PROP-2466,4109,5,4.8,2005,3,1,23.7,0,0,1002600
PROP-2467,1010,1,1.8,1965,1,6,24.9,0,0,341000
PROP-2468,4455,6,5.5,1967,1,8,12.2,0,0,1263300
PROP-2469,3759,6,4.5,1970,3,2,6.3,1,1,1059000
PROP-2470,3103,6,5.0,2000,2,9,22.7,0,0,1029200
PROP-2471,3625,5,4.8,1965,0,5,4.5,0,1,1008700
PROP-2472,2977,4,4.0,2011,0,2,23.4,0,0,744400
PROP-2473,2042,4,3.0,1963,1,10,10.4,0,0,777400
PROP-2474,1183,1,1.0,1983,2,6,24.6,0,1,449000
PROP-2475,2969,3,2.8,1967,3,2,17.5,0,0,746000
PROP-2476,3311,6,5.0,1964,2,6,4.5,1,0,1070000
PROP-2477,4070,6,4.5,2012,3,2,14.9,0,0,1039300
PROP-2478,2946,3,3.2,1999,1,10,24.4,0,0,920900
PROP-2479,4230,6,5.5,2006,0,8,26.3,0,0,1173900
PROP-2480,3170,4,3.0,1977,0,4,8.8,0,0,809100
PROP-2481,922,2,2.0,1965,0,4,14.2,0,0,333600
PROP-2482,2237,4,4.0,2004,3,3,20.8,1,1,731000
PROP-2483,2386,2,1.5,1983,3,3,20.9,0,0,623600
PROP-2484,4150,6,4.5,2014,2,8,19.6,1,0,1247100
PROP-2485,1232,3,2.8,1966,0,9,3.4,0,1,601800
PROP-2486,3660,6,4.5,1988,1,1,6.2,0,0,884400
PROP-2487,2830,4,4.0,1977,0,7,22.7,1,0,850900
PROP-2488,2513,5,4.8,2024,0,1,25.3,0,0,645000
PROP-2489,3343,4,4.0,2011,0,5,11.0,1,0,973500
PROP-2490,950,1,1.2,1960,0,7,22.7,0,0,339600
PROP-2491,3572,6,4.5,1992,2,7,24.1,0,0,1027500
PROP-2492,1168,1,1.0,1990,2,7,16.6,0,1,466000
PROP-2493,3068,5,3.8,2011,0,10,19.8,0,0,976400
PROP-2494,2804,3,2.8,1976,3,5,10.5,0,0,839800
PROP-2495,3552,6,5.5,2004,0,8,8.2,0,1,1131200
PROP-2496,3444,4,3.5,2005,3,8,26.0,1,0,1078000
PROP-2497,4223,6,5.5,1996,3,7,21.8,0,0,1213700
PROP-2498,1142,1,1.2,2023,1,9,28.0,0,0,487900
PROP-2499,2391,2,2.0,1997,3,9,9.9,0,1,863200
PROP-2500,1280,3,2.8,2009,0,2,21.9,0,0,351700
PROP-2501,2334,2,2.5,2011,3,1,22.2,1,0,601600
PROP-2502,2388,4,4.0,2012,3,1,4.6,0,0,715900
PROP-2503,1394,2,2.5,2022,2,1,5.5,0,0,491700
PROP-2504,2786,3,2.2,1971,1,6,5.2,1,1,827400
PROP-2505,1370,2,2.5,2009,0,1,15.4,0,0,370600
PROP-2506,3286,5,4.8,2009,0,8,6.1,0,0,1025700
PROP-2507,4228,6,5.0,1979,0,6,26.0,0,1,1108400
PROP-2508,1237,3,2.8,2007,3,1,10.2,0,0,425300
PROP-2509,4146,6,4.5,1996,1,4,5.3,0,0,1119100
PROP-2510,1351,3,2.8,1993,1,2,22.8,0,1,415700
PROP-2511,3610,6,4.5,1995,0,9,26.5,0,1,1070900
PROP-2512,1556,3,3.2,2019,3,10,22.0,0,0,697300
PROP-2513,1369,3,2.8,1965,1,2,26.5,0,0,333000
PROP-2514,1638,2,2.5,1970,0,1,27.4,0,0,329400
PROP-2515,3071,5,3.8,1999,1,7,10.6,0,0,951100
PROP-2516,1639,3,2.8,2006,3,8,27.7,0,0,624700
PROP-2517,3929,6,4.5,2013,1,5,14.9,0,0,1105900
PROP-2518,2773,5,3.8,2000,2,5,21.6,1,1,906100
PROP-2519,2089,2,1.5,2019,1,9,1.9,0,0,798100
PROP-2520,2127,3,2.2,1983,3,3,1.4,0,1,676900
PROP-2521,2374,3,2.8,2008,3,1,15.7,0,0,647000
PROP-2522,3644,6,5.5,2017,0,3,2.7,0,0,1024900
PROP-2523,1600,1,1.8,1987,3,9,11.0,0,1,652500
PROP-2524,1308,2,1.5,1972,0,8,24.2,0,0,482800
PROP-2525,1086,1,1.2,1988,0,2,1.6,0,1,348500
PROP-2526,1333,3,3.2,2008,2,6,20.5,0,0,568000
PROP-2527,2027,3,2.2,1987,0,10,22.9,0,0,709000
PROP-2528,4236,6,4.5,1989,1,5,22.6,0,1,1117200
PROP-2529,2520,5,4.2,1963,0,1,21.7,0,0,583800
PROP-2530,3206,6,5.0,2006,2,9,20.8,0,0,1079300
PROP-2531,3755,6,5.5,2024,0,8,15.2,1,0,1176900
PROP-2532,4365,6,4.5,2006,1,8,17.8,1,0,1221700
PROP-2533,2540,3,3.2,1976,3,5,17.1,1,0,776300
PROP-2534,1512,1,1.8,2001,2,9,2.3,0,0,675000
PROP-2535,806,1,1.2,1986,0,5,21.2,0,0,305100
PROP-2536,4016,6,5.5,2019,2,8,14.1,0,0,1218500
PROP-2537,1797,1,1.2,1962,1,7,11.7,0,0,567800
PROP-2538,801,1,1.8,2017,3,3,5.6,0,0,387500
PROP-2539,3001,4,3.0,1983,1,2,17.1,0,0,682900
PROP-2540,2950,3,2.8,1993,3,3,12.8,0,1,809300
PROP-2541,1593,1,1.0,1998,2,10,28.5,0,0,610600
PROP-2542,4436,6,5.0,2010,0,5,16.0,0,0,1193900
PROP-2543,1137,1,1.0,1992,2,4,28.5,0,0,330200
PROP-2544,3053,4,3.0,1999,3,6,3.9,0,1,944900
PROP-2545,869,1,1.8,1990,3,9,19.8,0,0,483500
PROP-2546,3659,6,4.5,2008,2,9,3.8,0,0,1181700
PROP-2547,3726,6,5.5,2004,2,9,23.2,0,0,1159500
PROP-2548,1760,2,2.5,1985,0,4,22.0,0,0,483400
PROP-2549,4475,6,5.0,2003,3,3,14.5,0,0,1147800
PROP-2550,1608,2,2.5,2014,0,4,24.0,0,0,478100
PROP-2551,2014,2,2.0,1992,0,10,10.6,0,0,732200
PROP-2552,2993,5,4.8,1998,1,7,22.7,0,1,939300
PROP-2553,3239,6,4.5,2022,3,2,11.1,1,0,975600
PROP-2554,3247,4,3.5,1999,0,5,8.9,0,0,898000
PROP-2555,1778,2,2.5,1980,0,5,28.3,0,0,513000
PROP-2556,2898,4,3.0,2009,2,8,20.4,1,0,965300
PROP-2557,4187,6,5.5,1971,2,8,7.3,0,1,1212900
PROP-2558,2310,3,3.2,1989,3,8,6.2,1,0,882300
PROP-2559,1234,1,1.0,1984,3,3,13.0,0,1,420400
PROP-2560,4020,6,5.5,2016,1,5,26.1,0,0,1105400
PROP-2561,2670,3,3.2,2006,2,8,18.1,1,0,912200
PROP-2562,1235,1,1.8,2002,2,10,3.8,0,0,620500
PROP-2563,3518,5,3.8,1983,3,1,23.5,0,0,815700
PROP-2564,2945,5,4.8,2013,0,1,26.5,0,0,738300
PROP-2565,3508,6,5.0,1985,2,9,11.5,0,0,1142300
PROP-2566,1951,2,2.5,1984,3,5,8.6,0,0,604300
PROP-2567,1439,2,1.5,1979,3,7,24.1,0,0,543200
PROP-2568,2186,4,3.5,1993,2,9,13.3,0,0,799900
PROP-2569,2327,4,3.5,1993,3,2,10.7,0,0,682400
PROP-2570,4465,6,5.0,1964,1,5,1.8,0,0,1221600
PROP-2571,1444,3,3.2,1960,2,9,17.9,0,1,636900
PROP-2572,2113,2,1.5,2016,2,5,16.3,0,0,667700
PROP-2573,883,1,1.8,1960,2,4,15.7,0,1,291500
PROP-2574,3127,4,3.0,1975,1,7,17.6,1,0,900300
PROP-2575,925,2,2.0,1963,3,4,13.7,0,1,397000
PROP-2576,2190,2,2.5,2009,1,3,23.3,0,0,554200
PROP-2577,3643,6,4.5,2000,0,1,23.1,0,0,818000
PROP-2578,2601,5,4.8,2015,1,4,25.5,0,0,764400
PROP-2579,2663,4,4.0,2014,2,7,24.8,0,0,851200
PROP-2580,1309,2,1.5,2020,2,2,10.4,0,0,471800
PROP-2581,1350,1,1.8,1996,0,1,25.1,0,1,297900
PROP-2582,2728,5,3.8,2001,0,7,9.4,0,0,860100
PROP-2583,2640,4,4.0,2020,1,9,6.6,1,0,1001000
PROP-2584,1829,3,2.2,2001,3,6,8.6,0,0,654700
PROP-2585,2913,5,3.8,2003,0,6,19.5,0,0,838000
PROP-2586,2664,3,3.2,2011,3,6,13.0,0,0,852800
PROP-2587,2719,3,3.2,1975,1,10,6.2,0,1,949300
PROP-2588,1199,1,1.0,2022,3,5,11.1,0,0,496200
PROP-2589,3390,6,5.5,1998,0,4,26.0,1,0,937100
PROP-2590,3590,6,4.5,2022,0,1,18.3,0,0,891500
PROP-2591,4211,6,5.0,1975,0,7,8.5,0,0,1129900
PROP-2592,3538,6,5.0,2016,2,9,27.7,0,0,1106900
PROP-2593,1683,2,2.5,2004,3,4,13.0,0,0,553200
PROP-2594,779,1,1.2,1976,3,3,15.2,0,0,263700
PROP-2595,1524,1,1.2,2024,1,7,23.1,0,0,532000
PROP-2596,1088,1,1.2,2001,2,5,28.3,0,0,401600
PROP-2597,3006,6,5.5,2000,1,1,6.7,1,0,832100
PROP-2598,2534,3,3.2,2003,1,7,18.1,0,1,821500
PROP-2599,2231,2,1.5,1964,1,10,27.1,0,0,685100
PROP-2600,3209,4,3.0,2005,3,6,8.4,1,0,1005200
PROP-2601,1752,1,1.2,1975,2,5,23.2,0,0,488500
PROP-2602,1603,1,1.0,1975,1,10,11.0,0,1,607500
PROP-2603,2086,2,1.5,1997,1,4,3.3,0,0,615400
PROP-2604,3587,5,4.8,1976,0,5,15.6,1,0,988100
PROP-2605,3070,4,3.0,2004,2,9,9.1,0,0,981600
PROP-2606,2738,5,4.2,1986,1,5,23.9,1,0,840500
PROP-2607,1719,3,2.2,2007,0,9,5.5,0,0,719000
PROP-2608,3882,6,4.5,2015,2,3,17.2,0,0,1056800
PROP-2609,1153,2,2.0,1983,2,6,18.9,0,0,458000
PROP-2610,3459,6,4.5,2003,2,10,2.3,1,0,1188900
PROP-2611,3105,5,4.8,2002,2,5,21.4,0,1,932600
PROP-2612,3652,6,5.5,1996,0,6,21.3,0,1,1045000
PROP-2613,1795,2,2.0,1997,0,4,26.2,0,1,514600
PROP-2614,2229,3,2.8,1986,2,6,15.1,1,1,752900
PROP-2615,3849,6,4.5,1979,3,8,22.4,1,0,1136100
PROP-2616,2769,4,3.5,1983,2,5,25.2,1,1,831600
PROP-2617,2582,3,2.8,1991,3,10,14.0,1,0,931500
PROP-2618,4406,6,5.5,1996,2,10,20.0,0,0,1275800
PROP-2619,3697,5,4.2,2014,1,4,19.7,1,0,978100
PROP-2620,1230,1,1.2,2006,1,6,25.8,0,0,438100
PROP-2621,1441,2,2.0,2017,2,10,21.2,0,0,667600
PROP-2622,3954,5,3.8,2022,1,8,12.0,1,0,1201700
PROP-2623,1007,1,1.2,1974,1,5,4.0,0,0,384300
PROP-2624,2138,3,2.8,2003,1,5,10.8,0,0,669100
PROP-2625,2127,3,2.8,1983,0,7,28.3,0,0,617700
PROP-2626,4003,6,5.0,2013,3,9,2.7,0,0,1289200
PROP-2627,3259,5,3.8,1998,0,1,14.9,0,1,814800
PROP-2628,2267,3,3.2,2020,2,3,3.8,0,0,735100
PROP-2629,2621,5,3.8,1988,3,9,11.7,1,0,970900
PROP-2630,1030,2,2.5,2013,0,9,16.9,0,0,518400
PROP-2631,4368,6,5.5,2004,0,2,2.1,0,0,1123200
PROP-2632,1192,1,1.0,1982,0,3,12.3,0,1,357500
PROP-2633,3253,6,4.5,1990,1,10,13.0,0,1,1129300
PROP-2634,4393,6,5.5,2017,1,2,16.5,0,0,1092400
PROP-2635,2913,4,3.5,2017,0,7,22.3,0,0,862700
PROP-2636,4357,6,5.5,1961,1,5,15.2,1,1,1224400
PROP-2637,3792,6,5.0,1997,3,5,5.3,0,1,1155300
PROP-2638,3405,6,4.5,1981,3,10,23.6,0,0,1082900
PROP-2639,3964,6,5.0,1971,3,8,23.7,1,0,1186300
PROP-2640,2576,5,3.8,1999,2,7,23.5,1,0,884000
PROP-2641,3275,6,5.0,1991,0,6,10.2,0,1,1017400
PROP-2642,791,1,1.8,2008,0,9,26.8,0,0,438500
PROP-2643,4048,6,5.0,2009,3,7,19.4,0,0,1229100
PROP-2644,3458,6,4.5,1977,1,4,19.4,0,0,927900
PROP-2645,3394,4,3.5,2009,3,3,6.3,1,0,960500
PROP-2646,3645,6,5.0,1966,3,2,6.8,0,0,970600
PROP-2647,3645,6,5.0,2023,1,1,26.5,0,0,893900
PROP-2648,4027,6,5.5,2017,3,6,23.7,0,0,1180900
PROP-2649,2328,4,4.0,1960,0,6,10.4,0,1,708900
PROP-2650,3419,5,4.2,1992,2,4,27.6,0,1,935000
PROP-2651,899,1,1.2,1973,2,7,10.9,0,0,421000
PROP-2652,1001,1,1.0,1971,3,8,8.0,0,0,473500
PROP-2653,4294,6,4.5,1966,1,6,3.5,0,0,1135000
PROP-2654,3442,4,3.5,2012,2,2,7.6,1,0,931400
PROP-2655,4240,6,5.0,1966,0,5,28.2,0,0,1027000
PROP-2656,2698,4,3.5,1986,1,8,19.5,0,1,843300
PROP-2657,1893,2,1.5,1986,0,1,12.2,0,0,428800
PROP-2658,1067,2,2.0,1965,0,6,5.3,0,0,403100
PROP-2659,2915,4,3.5,2018,2,10,23.9,0,0,975200
PROP-2660,4220,6,5.0,1962,1,6,18.0,0,0,1103300
PROP-2661,4034,6,4.5,2000,1,1,9.7,0,0,953100
PROP-2662,3697,6,4.5,1988,0,7,3.3,0,1,1121600
PROP-2663,4393,6,4.5,2011,3,5,10.5,0,0,1224400
PROP-2664,2580,3,2.2,1965,2,4,3.5,1,1,763800
PROP-2665,4026,5,3.8,2012,3,7,10.8,0,0,1184100
PROP-2666,1104,1,1.2,2003,0,7,22.0,0,1,453200
PROP-2667,2084,3,2.8,1979,3,8,26.9,0,0,689500
PROP-2668,4402,6,5.5,1967,1,8,21.0,1,1,1244100
PROP-2669,2209,4,4.0,2015,3,1,12.8,1,0,687100
PROP-2670,1040,1,1.0,1971,3,8,24.9,0,0,435300
PROP-2671,4068,5,3.8,2006,1,10,23.1,0,0,1186700
PROP-2672,4293,6,5.0,1996,2,2,25.0,0,0,1040100
PROP-2673,979,1,1.8,1997,1,3,24.7,0,0,297300
PROP-2674,1473,2,2.5,1993,3,9,22.6,0,0,635200
PROP-2675,3552,5,4.8,1974,0,3,20.9,1,0,896200
PROP-2676,3658,6,5.5,2024,0,6,3.9,0,0,1112900
PROP-2677,1529,2,2.0,2006,1,4,28.0,0,0,448400
PROP-2678,2043,3,3.2,2007,2,4,13.9,0,0,663200
PROP-2679,4315,6,4.5,1996,0,7,22.3,1,0,1156300
PROP-2680,1350,1,1.2,1961,2,8,2.9,0,0,551200
PROP-2681,2146,4,4.0,1981,1,4,26.3,0,0,587500
PROP-2682,2589,5,4.8,2007,3,9,4.2,0,0,998300
PROP-2683,2570,4,3.0,2005,0,8,27.2,1,0,809700
PROP-2684,875,2,1.5,1967,2,6,25.6,0,0,323800
PROP-2685,3922,6,5.5,1984,1,2,14.5,1,0,1018100
PROP-2686,2876,5,4.8,1992,2,1,11.7,0,0,797000
PROP-2687,1962,3,2.2,2002,1,6,14.0,0,0,680400
PROP-2688,4293,6,4.5,1993,3,3,24.9,0,0,1024900
PROP-2689,2062,3,2.2,1983,3,2,17.1,0,0,524000
PROP-2690,4150,6,5.5,2009,0,2,16.5,0,0,1053800
PROP-2691,4293,6,5.5,1975,0,10,25.4,0,0,1243300
PROP-2692,3164,5,4.8,1960,0,8,2.5,0,0,981800
PROP-2693,2796,5,4.2,1981,0,6,26.6,0,0,762600
PROP-2694,2760,4,3.0,1970,2,10,13.9,0,0,912600
PROP-2695,4358,6,4.5,2002,3,10,26.0,1,1,1335200
PROP-2696,2052,4,3.5,2009,0,10,23.5,0,0,773900
PROP-2697,1361,1,1.2,1975,1,6,12.2,0,0,451100
PROP-2698,3775,6,5.0,1996,1,6,2.4,0,1,1118400
PROP-2699,2662,5,4.2,2013,3,4,11.1,1,0,892300
PROP-2700,3727,6,5.0,2017,2,8,13.5,1,0,1212800
PROP-2701,4286,6,5.5,2002,2,4,15.9,0,0,1118500
PROP-2702,1476,2,1.5,1964,0,10,6.7,0,0,579500
PROP-2703,4403,6,5.0,1975,1,7,23.3,1,1,1201700
PROP-2704,1524,1,1.2,1990,0,4,18.3,0,1,445000
PROP-2705,3023,5,4.8,1987,0,6,18.7,0,0,872200
PROP-2706,2281,2,1.5,2002,2,3,12.8,1,1,635700
PROP-2707,3516,5,4.8,2022,2,8,15.0,1,0,1129000
PROP-2708,4250,6,5.5,1985,2,6,4.5,1,0,1243200
PROP-2709,4029,5,3.8,1988,0,8,18.8,0,1,1153100
PROP-2710,3075,6,5.0,2016,2,1,9.8,0,0,851200
PROP-2711,3587,6,5.0,2021,0,8,9.4,1,0,1174800
PROP-2712,1986,4,3.5,1986,2,4,14.9,0,0,643500
PROP-2713,1031,2,2.0,2023,2,1,24.6,0,0,351600
PROP-2714,1396,1,1.8,1994,0,4,11.6,0,0,465800
PROP-2715,2278,3,3.2,2005,3,3,25.3,1,0,678200
PROP-2716,2944,4,3.5,1960,2,6,1.7,0,1,913400
PROP-2717,3920,6,5.5,1994,2,2,2.9,0,1,1097900
PROP-2718,3816,6,5.0,1993,1,6,8.8,0,1,1144100
PROP-2719,755,1,1.8,1969,3,10,25.6,0,0,487700
PROP-2720,3873,6,5.5,1991,2,8,27.7,1,0,1195900
PROP-2721,4012,6,5.5,1969,0,2,10.1,0,0,978800
PROP-2722,967,2,1.5,2012,2,3,11.7,0,0,401600
PROP-2723,1986,3,2.8,1996,3,3,1.3,0,1,686000
PROP-2724,3654,6,5.0,1981,1,4,16.8,1,0,1017500
PROP-2725,1091,1,1.0,1997,1,5,11.7,0,0,431600
PROP-2726,2144,3,2.8,1966,0,7,2.6,0,0,679700
PROP-2727,3087,6,4.5,1966,3,10,28.4,0,1,1022800
PROP-2728,3340,6,4.5,1982,0,3,5.7,0,0,904100
PROP-2729,2385,2,2.0,1965,2,7,8.1,0,0,742200
PROP-2730,1249,1,1.0,1985,3,7,11.0,0,0,504400
PROP-2731,1325,3,2.8,1968,2,7,20.2,0,0,502200
PROP-2732,3259,4,4.0,2007,3,9,5.9,1,0,1120800
PROP-2733,2098,2,2.5,1998,1,3,3.5,0,0,631200
PROP-2734,3414,5,3.8,1994,0,5,4.2,1,1,1036600
PROP-2735,4090,6,5.0,2010,1,10,4.5,0,0,1289100
PROP-2736,4460,6,4.5,1963,0,8,9.4,1,1,1274900
PROP-2737,4445,6,5.5,1998,2,7,18.1,0,0,1232800
PROP-2738,1967,4,3.0,1978,3,3,26.8,0,0,567700
PROP-2739,1762,3,2.8,2018,2,10,27.2,0,0,737800
PROP-2740,1868,4,4.0,1975,2,4,22.9,0,0,570400
PROP-2741,3042,6,4.5,1972,0,4,2.9,1,1,944300
PROP-2742,4345,6,4.5,1990,2,3,16.0,0,0,1105000
PROP-2743,3728,5,3.8,1992,3,3,26.9,0,1,957100
PROP-2744,791,1,1.2,1991,2,3,7.8,0,0,352400
PROP-2745,4026,5,4.2,2020,3,1,9.7,1,0,1078800
PROP-2746,3348,6,5.5,2023,3,7,26.0,1,0,1093500
PROP-2747,2958,5,4.2,2022,1,2,2.3,0,0,862200
PROP-2748,3568,4,3.0,1990,1,1,25.3,0,1,819500
PROP-2749,3567,6,5.5,2023,1,5,23.0,0,0,1034400
PROP-2750,2520,4,3.5,1968,3,9,17.4,1,1,930100
PROP-2751,4207,6,5.5,1989,2,3,7.2,0,0,1141200
PROP-2752,3111,4,3.5,1984,1,8,16.2,0,1,991700
PROP-2753,4373,6,4.5,1995,1,4,10.8,0,0,1135100
PROP-2754,3216,5,4.8,1990,0,2,21.0,0,0,818200
PROP-2755,3512,4,4.0,1984,2,4,9.7,0,1,988100
PROP-2756,4250,6,4.5,2023,3,6,1.4,0,0,1268900
PROP-2757,3921,6,5.5,1996,3,4,22.6,0,0,1060600
PROP-2758,3898,5,3.8,1961,2,10,11.0,0,0,1138600
PROP-2759,3012,5,4.8,2005,2,3,5.6,0,0,887600
PROP-2760,4096,5,4.8,1964,2,10,3.0,1,0,1291700
PROP-2761,1602,3,3.2,2005,0,2,1.9,0,0,500600
PROP-2762,1189,2,1.5,2014,1,7,21.8,0,0,494600
PROP-2763,3757,6,4.5,2002,0,5,3.0,1,0,1108100
PROP-2764,1818,2,2.0,2022,3,1,28.3,0,0,461500
PROP-2765,1563,3,2.2,1987,0,3,15.3,0,0,476200
PROP-2766,4092,6,5.5,1989,2,5,19.6,0,0,1083700
PROP-2767,2061,2,1.5,1969,1,8,21.7,0,0,591300
PROP-2768,2789,3,2.2,1971,2,10,24.2,1,0,904500
PROP-2769,1180,1,1.8,2024,3,3,27.8,0,0,410500
PROP-2770,3891,6,5.5,1993,0,1,7.6,0,1,1003900
PROP-2771,4031,5,3.8,2013,2,9,27.2,0,0,1141100
PROP-2772,1278,1,1.8,1979,2,2,20.5,0,1,318900
PROP-2773,1107,1,1.0,1977,2,7,2.9,0,0,462700
PROP-2774,3996,6,4.5,1983,0,5,16.7,0,0,1041400
PROP-2775,4248,6,4.5,1976,0,5,6.3,1,0,1150100
PROP-2776,2001,2,1.5,1965,3,6,3.0,0,1,688900
PROP-2777,835,1,1.2,1960,0,1,18.4,0,1,197500
PROP-2778,2117,4,3.5,1998,1,1,20.9,0,0,559700
PROP-2779,1351,3,3.2,1976,1,10,27.4,0,0,606300
PROP-2780,1284,3,2.2,2022,3,2,20.6,0,0,419700
PROP-2781,4029,6,5.5,2023,3,8,12.8,0,0,1300000
PROP-2782,1641,3,2.8,2019,0,3,22.8,0,0,465400
PROP-2783,3234,6,4.5,1988,3,3,2.3,0,1,974300
PROP-2784,1785,2,2.0,2024,3,9,23.3,0,0,715300
PROP-2785,1096,2,2.5,2018,1,5,4.3,0,0,471700
PROP-2786,2792,5,4.8,2011,2,1,8.0,0,0,783900
PROP-2787,1188,1,1.2,2000,2,10,6.5,0,0,605100
PROP-2788,2082,2,2.5,2010,1,1,11.1,0,0,512600
PROP-2789,1892,3,3.2,1984,1,10,6.2,0,1,781500
PROP-2790,2431,3,3.2,2000,3,8,1.4,0,0,880300
PROP-2791,3350,4,3.5,1985,3,9,19.1,1,0,1043700
PROP-2792,2176,4,3.5,1988,2,5,8.9,0,0,742900
PROP-2793,897,1,1.8,2012,3,8,20.3,0,0,465500
PROP-2794,4037,6,4.5,1977,0,1,21.4,0,1,933800
PROP-2795,3478,4,3.5,1962,2,8,21.9,1,1,1035500
PROP-2796,3568,5,4.2,2022,0,5,3.8,0,0,1046600
PROP-2797,3592,5,4.8,2014,3,8,3.4,0,0,1186800
PROP-2798,2525,3,2.8,1998,3,1,20.2,0,0,627200
PROP-2799,1086,1,1.0,1975,3,8,22.5,0,1,492500
PROP-2800,942,2,2.0,1997,1,1,13.9,0,1,333600
